timestamp,script,mode,steps,k,eval_samples,fid,status,return_code,log_path,command
2026-03-15T09:17:34,run_ffhq128.py,baseline,20,5,5000,21.1265296936,ok,0,experiment_results/logs/20260315_091734_baseline_T20_k5.log,/home/jimmy/anaconda3/envs/diffae_bw/bin/python run_ffhq128.py --steps 20 --eval_samples 5000
2026-03-15T09:22:15,QATcode/sample_lora_intmodel.py,float,20,5,5000,,failed,1,experiment_results/logs/20260315_091734_qat_float_T20_k5.log,/home/jimmy/anaconda3/envs/diffae_bw/bin/python QATcode/sample_lora_intmodel.py --mode float --num_steps 20 --eval_samples 5000 --log_file /home/jimmy/diffae/experiment_results/logs/20260315_091734_qat_internal_float_T20_k5.log
2026-03-15T09:22:21,run_ffhq128.py,baseline,20,50,50000,16.3739738464,ok,0,experiment_results/logs/20260315_091734_baseline_T20_k50.log,/home/jimmy/anaconda3/envs/diffae_bw/bin/python run_ffhq128.py --steps 20 --eval_samples 50000
2026-03-15T10:06:39,QATcode/sample_lora_intmodel.py,float,20,50,50000,,failed,1,experiment_results/logs/20260315_091734_qat_float_T20_k50.log,/home/jimmy/anaconda3/envs/diffae_bw/bin/python QATcode/sample_lora_intmodel.py --mode float --num_steps 20 --eval_samples 50000 --log_file /home/jimmy/diffae/experiment_results/logs/20260315_091734_qat_internal_float_T20_k50.log
2026-03-15T10:06:44,run_ffhq128.py,baseline,100,5,5000,15.6511430740,ok,0,experiment_results/logs/20260315_091734_baseline_T100_k5.log,/home/jimmy/anaconda3/envs/diffae_bw/bin/python run_ffhq128.py --steps 100 --eval_samples 5000
2026-03-15T10:32:07,QATcode/sample_lora_intmodel.py,float,20,5,5000,20.3672809601,ok,0,experiment_results/logs/20260315_103207_qat_float_T20_k5.log,/home/jimmy/anaconda3/envs/diffae_bw/bin/python QATcode/sample_lora_intmodel.py --mode float --num_steps 20 --eval_samples 5000 --log_file /home/jimmy/diffae/experiment_results/logs/20260315_103207_qat_internal_float_T20_k5.log
2026-03-15T10:40:49,QATcode/sample_lora_intmodel.py,float,20,50,50000,15.6748886108,ok,0,experiment_results/logs/20260315_103207_qat_float_T20_k50.log,/home/jimmy/anaconda3/envs/diffae_bw/bin/python QATcode/sample_lora_intmodel.py --mode float --num_steps 20 --eval_samples 50000 --log_file /home/jimmy/diffae/experiment_results/logs/20260315_103207_qat_internal_float_T20_k50.log
2026-03-15T12:06:26,QATcode/sample_lora_intmodel.py,float,100,5,5000,15.7401437759,ok,0,experiment_results/logs/20260315_103207_qat_float_T100_k5.log,/home/jimmy/anaconda3/envs/diffae_bw/bin/python QATcode/sample_lora_intmodel.py --mode float --num_steps 100 --eval_samples 5000 --log_file /home/jimmy/diffae/experiment_results/logs/20260315_103207_qat_internal_float_T100_k5.log
2026-03-15T12:47:53,run_ffhq128.py,baseline,100,50,50000,10.1958980560,ok,0,experiment_results/logs/20260315_103207_baseline_T100_k50.log,/home/jimmy/anaconda3/envs/diffae_bw/bin/python run_ffhq128.py --steps 100 --eval_samples 50000
2026-03-15T16:14:48,QATcode/sample_lora_intmodel.py,float,100,50,50000,10.3547677994,ok,0,experiment_results/logs/20260315_103207_qat_float_T100_k50.log,/home/jimmy/anaconda3/envs/diffae_bw/bin/python QATcode/sample_lora_intmodel.py --mode float --num_steps 100 --eval_samples 50000 --log_file /home/jimmy/diffae/experiment_results/logs/20260315_103207_qat_internal_float_T100_k50.log
